Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R47,0,r_0402_nordic,49.5,19.5,90.0,top
R48,300k,r_0402_nordic,58.75,18.1725,-90.0,top
R5,10,r_0402_nordic,11.75,-16.2,-90.0,top
R50,0,r_0402_nordic,49.5,21.0,0.0,top
R51,47k,r_0402_nordic,57.75,22.9225,0.0,top
R52,30k,r_0603_nordic,58.75,20.6725,-90.0,top
R6,0,r_0402_nordic,9.75,-15.2,90.0,top
R7,5.1k,r_0402_nordic,29.25,-16.36624,90.0,top
R8,5.1k,r_0402_nordic,33.5,-16.36625,0.0,top
R9,R,r_0603_nordic,20.75,-12.75,0.0,top
S1,"Tactile Button, 160gf",SW_TS-1088-AR02016,-6.5,-23.25,0.0,top
SW1,ZX-QC66-8.5TP,KEY-SMD_4P-L6.0-W6.0-P4.50-LS8.6_H8.5,28.25,46.0,90.0,top
SW2,ZX-QC66-8.5TP,KEY-SMD_4P-L6.0-W6.0-P4.50-LS8.6_H8.5,28.25,25.4,-90.0,top
SW3,ZX-QC66-8.5TP,KEY-SMD_4P-L6.0-W6.0-P4.50-LS8.6_H8.5,-21.5,46.0,90.0,top
SW4,ZX-QC66-8.5TP,KEY-SMD_4P-L6.0-W6.0-P4.50-LS8.6_H8.5,-21.5,25.4,-90.0,top
TC2,TC2030-IDC,TC2030-IDC,52.423925,0.115,0.0,top
U1,ME54BS13_V1.0,ME54BS13_V1.0,67.1,-14.5,-90.0,top
U10,MF-NSMF200-2,F1206,-12.55,-12.0,180.0,top
U11,LIS2DW12TR,LGA-12_L2.0-W2.0-P0.50-BL,45.75,9.0,90.0,top
U12,ADS1115IDGS,TSSOP-10_3x3mm_P0.5mm,52.5,20.25,90.0,top
U13,OPA333xxDBV,SOT-23-5,56.36,20.1975,-90.0,top
U14,LMP91000SDX/NOPB,WSON-14_L4.0-W4.0-P0.50-BL-EP-1,45.75,21.0,-90.0,top
U2,AP3019AKTR,SOT-23-6,13.75,-19.45,-90.0,top
U3,FPC 0.5-10P HYH2.0,FPC-SMD_10P-P0.50_FPC-0.5-10P-HYH2.0,1.75,-22.895,180.0,top
U4,MT9700-N,SOT-23-5_L2.9-W1.6-P0.95-LS2.9-BL,20.4,-9.45,90.0,top
U5,nPM1300-QEAA,Nordic_QFN50P500X500X90-33N,44.799995,-15.050112,180.0,top
U6,MT9700-N,SOT-23-5_L2.9-W1.6-P0.95-LS2.9-BL,48.025,53.24625,0.0,top
U7,MAX98357AETE+T,TQFN-16_L3.0-W3.0-P0.50-BL-EP1.5,41.0,49.03375,0.0,top
U8,S3B-PH-SM4-TB,CONN-SMD_S3B-PH-SM4-TB-LF-SN,-20.475,-10.0,90.0,top
U9,W25Q128JVPIQTR,WSON-8_L6.0-W5.0-P1.27-BL-EP,-13.245,1.5,180.0,top
